doc_id,hotel_name,hotel_url,street,city,state,country,zip,class,price,num_reviews,CLEANLINESS,ROOM,SERVICE,LOCATION,VALUE,COMFORT,overall_ratingsource
usa_nevada_las-vegas_four_seasons_hotel_las_vegas,four seasons hotel las vegas,http://www.tripadvisor.com/ShowUserReviews-g45963-d91674-r50351846-Four_Seasons_Hotel_Las_Vegas-Las_Vegas_Nevada.html,-1,las vegas,nv,usa,89119,-1,-1,283,4.823321555,4.614840989,4.692579505,4.219081272,4.339222615,0,4.537809187
usa_nevada_las-vegas_desert_rose_resort,desert rose resort,http://www.tripadvisor.com/ShowUserReviews-g45963-d217598-r50312177-Desert_Rose_Resort-Las_Vegas_Nevada.html,-1,las vegas,nv,usa,89119,-1,-1,301,4.601328904,4.61461794,4.548172757,4.468438538,4.707641196,0,4.588039867
usa_nevada_las-vegas_signature_at_mgm_grand,signature at mgm grand,http://www.tripadvisor.com/ShowUserReviews-g45963-d601419-r50452764-Signature_at_MGM_Grand-Las_Vegas_Nevada.html,-1,las vegas,nv,usa,89109,-1,-1,301,4.757475083,4.760797342,4.455149502,4.129568106,4.455149502,0,4.511627907
usa_nevada_las-vegas_skylofts_at_mgm_grand,skylofts at mgm grand,http://www.tripadvisor.com/ShowUserReviews-g45963-d619205-r50472678-Skylofts_at_MGM_Grand-Las_Vegas_Nevada.html,-1,las vegas,nv,usa,89109,-1,-1,66,4.863636364,4.893939394,4.803030303,4.53030303,4.378787879,0,4.693939394
usa_nevada_las-vegas_wingate_by_wyndham_henderson,wingate by wyndham henderson,http://www.tripadvisor.com/ShowUserReviews-g45963-d622849-r47272636-Wingate_by_Wyndham_Henderson-Las_Vegas_Nevada.html,-1,las vegas,nv,usa,89052,-1,-1,29,4.793103448,4.689655172,4.75862069,4.275862069,4.655172414,0,4.634482759
usa_nevada_las-vegas_marriott_s_grand_chateau,marriott s grand chateau,http://www.tripadvisor.com/ShowUserReviews-g45963-d567617-r50056282-Marriott_s_Grand_Chateau-Las_Vegas_Nevada.html,-1,las vegas,nv,usa,89109,-1,-1,147,4.632653061,4.578231293,4.319727891,4.43537415,4.319727891,0,4.457142857
usa_nevada_las-vegas_platinum_hotel_and_spa,platinum hotel and spa,http://www.tripadvisor.com/ShowUserReviews-g45963-d610513-r50492467-Platinum_Hotel_and_Spa-Las_Vegas_Nevada.html,-1,las vegas,nv,usa,89169,-1,-1,301,4.65448505,4.790697674,4.332225914,3.96013289,4.508305648,0,4.449169435
usa_nevada_las-vegas_element_by_westin_las_vegas_summerlin,element by westin las vegas summerlin,http://www.tripadvisor.com/ShowUserReviews-g45963-d1149361-r48750791-Element_by_Westin_Las_Vegas_Summerlin-Las_Vegas_Nevada.html,-1,las vegas,nv,usa,89135,-1,-1,23,4.695652174,4.652173913,4.391304348,3.782608696,4.47826087,0,4.4
usa_nevada_las-vegas_jw_marriott_las_vegas_resort_spa_golf,jw marriott las vegas resort spa golf,http://www.tripadvisor.com/ShowUserReviews-g45963-d124741-r50006922-JW_Marriott_Las_Vegas_Resort_Spa_Golf-Las_Vegas_Nevada.html,-1,las vegas,nv,usa,89145,-1,-1,188,4.617021277,4.611702128,4.409574468,4.021276596,4.287234043,0,4.389361702
usa_new york city_inn_new_york_city,inn new york city,http://www.tripadvisor.com/ShowUserReviews-g60763-d80092-r48562223-Inn_New_York_City-New_York_City_New_York.html,266 west 71st st.,new york city,ny,USA,10023,-1,-1,66,4.984848485,4.939393939,4.96969697,4.893939394,4.757575758,0,4.909090909
usa_new york city_casablanca_hotel,casablanca hotel,http://www.tripadvisor.com/ShowUserReviews-g60763-d113317-r50468901-Casablanca_Hotel-New_York_City_New_York.html,147 west 43rd street,new york city,ny,USA,10036,-1,-1,301,4.734219269,4.215946844,4.76744186,4.840531561,4.382059801,0,4.588039867
usa_new york city_library_hotel,library hotel,http://www.tripadvisor.com/ShowUserReviews-g60763-d224221-r50266840-Library_Hotel-New_York_City_New_York.html,299 madison avenue,new york city,ny,USA,10017,-1,-1,301,4.897009967,4.491694352,4.787375415,4.80730897,4.375415282,0,4.671760797
usa_new york city_new_york_palace_hotel,new york palace hotel,http://www.tripadvisor.com/ShowUserReviews-g60763-d126260-r50469011-New_York_Palace_Hotel-New_York_City_New_York.html,455 madison ave,new york city,ny,USA,10022,-1,-1,301,4.803986711,4.647840532,4.651162791,4.860465116,4.34551495,0,4.66179402
usa_new york city_the_french_quarters_guest_apartments,the french quarters guest apartments,http://www.tripadvisor.com/ShowUserReviews-g60763-d1415127-r50408624-The_French_Quarters_Guest_Apartments-New_York_City_New_York.html,346 w. 46th street,new york city,ny,USA,10036,-1,-1,29,4.896551724,4.724137931,4.689655172,4.793103448,4.655172414,0,4.751724138
usa_new york city_sofitel_new_york,sofitel new york,http://www.tripadvisor.com/ShowUserReviews-g60763-d208454-r50524839-Sofitel_New_York-New_York_City_New_York.html,45 west 44th street,new york city,ny,USA,10036,-1,-1,301,4.764119601,4.607973422,4.544850498,4.84717608,4.265780731,0,4.605980066
usa_new york city_hotel_giraffe,hotel giraffe,http://www.tripadvisor.com/ShowUserReviews-g60763-d99762-r50447395-Hotel_Giraffe-New_York_City_New_York.html,365 park ave s,new york city,ny,USA,10016,-1,-1,301,4.837209302,4.617940199,4.598006645,4.511627907,4.299003322,0,4.572757475
usa_new york city_hotel_elysee,hotel elysee,http://www.tripadvisor.com/ShowUserReviews-g60763-d93340-r50241527-Hotel_Elysee-New_York_City_New_York.html,60 east 54th street,new york city,ny,USA,10022,-1,-1,270,4.711111111,4.485185185,4.625925926,4.792592593,4.388888889,0,4.600740741
usa_new york city_the_ritz_carlton_new_york_central_park,the ritz carlton new york central park,http://www.tripadvisor.com/ShowUserReviews-g60763-d224224-r50305079-The_Ritz_Carlton_New_York_Central_Park-New_York_City_New_York.html,50 central park south,new york city,ny,USA,10019,-1,-1,82,4.829268293,4.682926829,4.597560976,4.914634146,4.146341463,0,4.634146341
usa_new york city_residence_inn_by_marriott_times_square_new_york,residence inn by marriott times square new york,http://www.tripadvisor.com/ShowUserReviews-g60763-d578305-r50422345-Residence_Inn_by_Marriott_Times_Square_New_York-New_York_City_New_York.html,1033 avenue of the americas,new york city,ny,USA,10018,-1,-1,299,4.642140468,4.525083612,4.381270903,4.725752508,4.397993311,0,4.534448161
usa_san francisco_fairmont_heritage_place_ghirardelli_square,fairmont heritage place ghirardelli square,http://www.tripadvisor.com/ShowUserReviews-g60713-d1175274-r50081443-Fairmont_Heritage_Place_Ghirardelli_Square-San_Francisco_California.html,900 north point street,san francisco,ca,USA,94109,-1,-1,39,4.897435897,4.948717949,4.769230769,4.743589744,4.615384615,0,4.794871795
usa_san francisco_hotel_drisco,hotel drisco,http://www.tripadvisor.com/ShowUserReviews-g60713-d80983-r50349306-Hotel_Drisco-San_Francisco_California.html,2901 pacific avenue,san francisco,ca,USA,94115,-1,-1,213,4.802816901,4.694835681,4.765258216,4.525821596,4.572769953,0,4.672300469
usa_san francisco_omni_san_francisco_hotel,omni san francisco hotel,http://www.tripadvisor.com/ShowUserReviews-g60713-d224948-r50002959-Omni_San_Francisco_Hotel-San_Francisco_California.html,500 california street,san francisco,ca,USA,94104,-1,-1,301,4.76744186,4.571428571,4.737541528,4.485049834,4.431893688,0,4.598671096
usa_san francisco_the_inn_at_union_square,the inn at union square,http://www.tripadvisor.com/ShowUserReviews-g60713-d81409-r49488764-The_Inn_at_Union_Square-San_Francisco_California.html,440 post street,san francisco,ca,USA,94102,-1,-1,184,4.576086957,4.375,4.695652174,4.907608696,4.60326087,0,4.631521739
usa_san francisco_the_orchard_hotel,the orchard hotel,http://www.tripadvisor.com/ShowUserReviews-g60713-d217844-r50220538-The_Orchard_Hotel-San_Francisco_California.html,665 bush street,san francisco,ca,USA,94108,-1,-1,301,4.687707641,4.584717608,4.465116279,4.6910299,4.514950166,0,4.588704319
usa_san francisco_the_donatello_hotel,the donatello hotel,http://www.tripadvisor.com/ShowUserReviews-g60713-d81394-r50433732-The_Donatello_Hotel-San_Francisco_California.html,501 post st.,san francisco,ca,USA,94102,-1,-1,301,4.641196013,4.481727575,4.647840532,4.744186047,4.611295681,0,4.625249169
usa_san francisco_chancellor_hotel_on_union_square,chancellor hotel on union square,http://www.tripadvisor.com/ShowUserReviews-g60713-d115644-r50550542-Chancellor_Hotel_on_Union_Square-San_Francisco_California.html,433 powell street,san francisco,ca,USA,94102,-1,-1,301,4.700996678,4.255813953,4.561461794,4.893687708,4.574750831,0,4.597342193
usa_san francisco_white_swan_inn,white swan inn,http://www.tripadvisor.com/ShowUserReviews-g60713-d112373-r50517988-White_Swan_Inn-San_Francisco_California.html,845 bush street,san francisco,ca,USA,94108,-1,-1,140,4.528571429,4.442857143,4.614285714,4.635714286,4.371428571,0,4.518571429
usa_san francisco_argonaut_hotel_a_kimpton_hotel,argonaut hotel a kimpton hotel,http://www.tripadvisor.com/ShowUserReviews-g60713-d268533-r50391522-Argonaut_Hotel_a_Kimpton_Hotel-San_Francisco_California.html,495 jefferson street at hyde,san francisco,ca,USA,94109,-1,-1,301,4.740863787,4.478405316,4.508305648,4.727574751,4.275747508,0,4.546179402
usa_san francisco_hotel_monaco_san_francisco_a_kimpton_hotel,hotel monaco san francisco a kimpton hotel,http://www.tripadvisor.com/ShowUserReviews-g60713-d81985-r50377981-Hotel_Monaco_San_Francisco_a_Kimpton_Hotel-San_Francisco_California.html,501 geary st,san francisco,ca,USA,94102,-1,-1,162,4.62345679,4.185185185,4.444444444,4.358024691,4.12962963,0,4.348148148
